cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_25#inc_2016_2021|relative|65+|474070497.11|19455|48115453.813|19455|24367.54033|2473.1664772
secondary_sector|bd_25#prev_2021|father|0-24|586430462.89|52188|24857129.815|52188|11236.883247|476.29972053
secondary_sector|bd_25#prev_2021|mother|0-24|773898990.35|54908|140245300.9|54908|14094.466933|2554.1870201
secondary_sector|bd_25#prev_2021|relative|25-64|1802020856.4|106935|122658996.65|106935|16851.55334|1147.0425646
secondary_sector|bd_25#prev_2021|relative|65+|788728309.35|34694|17573823.005|34694|22733.853385|506.53781649
filled_prescriptions|bd_00#inc_2016_2021|father|0-24|66280623.93|83170|4708146.52|83170|796.92946892|56.608711314
filled_prescriptions|bd_00#inc_2016_2021|mother|0-24|58300834.15|67073|7776543.05|67073|869.21464896|115.94148241
filled_prescriptions|bd_00#inc_2016_2021|relative|25-64|247323397.94|182623.70829|16633204.647|182623.70829|1354.2786983|91.079109072
filled_prescriptions|bd_00#inc_2016_2021|relative|65+|190658573.58|108085|9893180.82|108085|1763.968854|91.53148744
filled_prescriptions|bd_00#prev_2021|father|0-24|120723799.12|131137|13411597.48|131137|920.59296095|102.27165087
filled_prescriptions|bd_00#prev_2021|mother|0-24|100785161.01|100582|17481504.16|100582|1002.0198545|173.8035052
filled_prescriptions|bd_00#prev_2021|relative|25-64|1331080764.6|859597.93716|120426547.6|859597.93716|1548.4922742|140.09636645
filled_prescriptions|bd_00#prev_2021|relative|65+|694165781.1|394999.06284|42200810.38|394999.06284|1757.3858938|106.83774811
filled_prescriptions|bd_01#inc_2016_2021|father|0-24|4289472.75|2264|1017499.19|2264|1894.6434408|449.42543728
filled_prescriptions|bd_01#inc_2016_2021|mother|0-24|5799349.1|2767|1365573.26|2767|2095.8977593|493.521236
filled_prescriptions|bd_01#inc_2016_2021|relative|25-64|66246951.19|26666|7169308.84|26666|2484.3227777|268.8558029
filled_prescriptions|bd_01#inc_2016_2021|relative|65+|27622689.97|10225|1195496.92|10225|2701.4855716|116.91901418
filled_prescriptions|bd_01#prev_2021|father|0-24|2969189.77|1527|570185.28|1527|1944.4595743|373.40227898
filled_prescriptions|bd_01#prev_2021|mother|0-24|3988906.82|1807|1098287.6|1807|2207.4747205|607.79612618
filled_prescriptions|bd_01#prev_2021|relative|25-64|254539221.36|89712|33726587.67|89712|2837.292908|375.94288022
filled_prescriptions|bd_01#prev_2021|relative|65+|104086309.93|39741|4812839.24|39741|2619.1165278|121.10513676
filled_prescriptions|bd_02#inc_2016_2021|father|0-24|39619015.12|24599|6524316.94|24599|1610.5945412|265.22691735
filled_prescriptions|bd_02#inc_2016_2021|mother|0-24|42640971.83|23853|11997794.25|23853|1787.656556|502.98890077
filled_prescriptions|bd_02#inc_2016_2021|relative|25-64|104401569.14|51578|9514918.7|51578|2024.149233|184.47630191
filled_prescriptions|bd_02#inc_2016_2021|relative|65+|54196314.48|19145|5038285.91|19145|2830.833872|263.16458135
filled_prescriptions|bd_02#prev_2021|father|0-24|39834808.09|23186|6674782.39|23186|1718.054347|287.8798581
filled_prescriptions|bd_02#prev_2021|mother|0-24|43773030.92|22222|12795575.74|22222|1969.8060895|575.80666637
filled_prescriptions|bd_02#prev_2021|relative|25-64|441934001.06|189153|56438904.49|189153|2336.3837796|298.37699899
filled_prescriptions|bd_02#prev_2021|relative|65+|169691322.88|56998|17248473.19|56998|2977.1452135|302.61541089
filled_prescriptions|bd_03#inc_2016_2021|father|0-24|3477897.09|1713|910218.37|1713|2030.2960245|531.35923526
filled_prescriptions|bd_03#inc_2016_2021|mother|0-24|3635618.25|1823|1175730.12|1823|1994.3051289|644.94246846
filled_prescriptions|bd_03#inc_2016_2021|relative|25-64|14907528.51|6253|2343856.02|6253|2384.0602127|374.83704142
filled_prescriptions|bd_03#inc_2016_2021|relative|65+|2968057.41|1080|-104543.26|1080|2748.2013056|-96.79931481
